text,label
I love this movie,1
This film is amazing,1
What a fantastic experience,1
I really enjoyed this,1
Absolutely wonderful story,1
The acting was great,1
I am very happy with this movie,1
Best film ever,1
This is awesome,1
I like it a lot,1
Superb performance,1
Incredible storyline,1

I hate this movie,0
This film was terrible,0
Worst experience ever,0
I am very disappointed,0
This is boring,0
Awful acting,0
I don't like this,0
Very bad movie,0
This was a waste of time,0
Horrible story,0
Not good at all,0
Really bad experience,0
